Joshua 19:35	And the fenced cities [are] Ziddim, Zer, and Hammath, Rakkath, and Chinnereth,
1 Samuel 1:16	Count not thine handmaid for a daughter of Belial: for out of the abundance of my complaint and grief have I spoken hitherto.
1 Samuel 1:17	Then Eli answered and said, Go in peace: and the God of Israel grant [thee] thy petition that thou hast asked of him.
1 Samuel 1:18	And she said, Let thine handmaid find grace in thy sight. So the woman went her way, and did eat, and her countenance was no more [sad].
1 Samuel 1:19	And they rose up in the morning early, and worshipped before the LORD, and returned, and came to their house to Ramah: and Elkanah knew Hannah his wife; and the LORD remembered her.
1 Samuel 1:20	Wherefore it came to pass, when the time was come about after Hannah had conceived, that she bare a son, and called his name Samuel, [saying], Because I have asked him of the LORD.
1 Samuel 1:21	And the man Elkanah, and all his house, went up to offer unto the LORD the yearly sacrifice, and his vow.
1 Samuel 1:22	But Hannah went not up; for she said unto her husband, [I will not go up] until the child be weaned, and [then] I will bring him, that he may appear before the LORD, and there abide for ever.
1 Samuel 1:23	And Elkanah her husband said unto her, Do what seemeth thee good; tarry until thou have weaned him; only the LORD establish his word. So the woman abode, and gave her son suck until she weaned him.
1 Samuel 1:24	And when she had weaned him, she took him up with her, with three bullocks, and one ephah of flour, and a bottle of wine, and brought him unto the house of the LORD in Shiloh: and the child [was] young.
1 Samuel 1:25	And they slew a bullock, and brought the child to Eli.
1 Samuel 1:26	And she said, Oh my lord, [as] thy soul liveth, my lord, I [am] the woman that stood by thee here, praying unto the LORD.
1 Samuel 1:27	For this child I prayed; and the LORD hath given me my petition which I asked of him:
1 Samuel 1:28	Therefore also I have lent him to the LORD; as long as he liveth he shall be lent to the LORD. And he worshipped the LORD there.
1 Samuel 2:1	And Hannah prayed, and said, My heart rejoiceth in the LORD, mine horn is exalted in the LORD: my mouth is enlarged over mine enemies; because I rejoice in thy salvation.
1 Samuel 2:2	[There is] none holy as the LORD: for [there is] none beside thee: neither [is there] any rock like our God.
1 Samuel 2:3	Talk no more so exceeding proudly; let [not] arrogancy come out of your mouth: for the LORD [is] a God of knowledge, and by him actions are weighed.
